event_slug,slug,marketTitle,volume,Condition,Yes,No,outcomeYes,outcomeNo
fed-interest-rates-december-2024,fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,down75,13304399.0156328,0xde507497bdd5d63090dfd8e6e29167216c66576bf8d029d87c99bef4e357c696,"38346428097173219827480569765679142441985134475022627197044493217626944740372","92481279177656835916000682096856578513086238606572708354137415200556053864259","0","1"
fed-interest-rates-december-2024,fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,down50,9192309.53167407,0x004e19d419d05dd366793689ce2af457d51bc921d9da4af867de09f0864a4305,"86514563650706195095515261507888352302856274648870425947777358797038409929767","393187152593416467531038704411056884117935492712483696646722423388090119697","0","1"
fed-interest-rates-december-2024,fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,down25,7490697.06615098,0xa11a9c66032cbe8c607bf1b21591f65dfee9d5eb65d73cc8ad5009c1f9826fa3,"11567814642074862867749936284471148455273423515322037976014884555300111576108","104624982332232121674504890797949153940036716358905787410119507343081224145324","1","0"
fed-interest-rates-december-2024,no-change-in-fed-interest-rates-after-december-2024-meeting,noChange,7400313.75189,0x71da2bbc04a7eae0d8ef739c17025d85917c0ea7db07646b6400a4f6ccb9f304,"40486845757649539115541074089071083804261584217856121899380374870077656913924","89983112994470128441047219796153942131876246309570274784989573358312419692722","0","1"
fed-interest-rates-december-2024,fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,up25,10228496.464075,0xb685671ec5f12410f48006fad1ec60fa1a1e19f3a5ba09a81ab45b026821252d,"2393324137012810733641772397696399325645867049692814885572335029968473203800","91317169610022160173771582465927489035536500072723283364047417194120723110757","0","1"
fed-interest-rates-december-2024,will-the-fed-change-rates-to-another-level-after-december-meeting,up50,11155452.805379,0x3a5d8047acd8aa377956e65bd40bfafd47ff6d528559b22530fb3822bc1afbbe,"5694679073664319884145576631918820240905946179254793709670561194653852782236","26497840769140197917528188278457247259371647397731183140174723533589431863038","0","1"
fed-interest-rates-november-2024,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,up25,133955589.249666,0x1fc1e5595adab4d8160b2fe72cfed61131e3d5e61b5c334160d1729d7380ab16,"37607087749772082751516356212488395841221931637322106913544914381521802317192","62906346854843026600780466242595591879256731166107167021180309597980343523177","0","1"
fed-interest-rates-november-2024,will-the-fed-change-rates-to-another-level-after-nov-meeting,up50,19150629.538967,0x61962c3f51c9c2e4f3885da88b70d3378a822830e42df02a19c7b035737515bc,"61236914812765433336602124983786929476030115582452695457552886232607113984020","33143533540708956708098159038116570406972955269074168835322036254352930411093","0","1"
fed-interest-rates-november-2024,fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,down75,15031954.754479,0x20e2d5f8c92270e87a3f60672a67c649e781f9c2ab8b30055ce4e2fb48c458dd,"76898974139298979468235047518432628223042581890492823901295517933784245911471","47470156049256390071349262887183170287182548133136555034461701246387539288031","0","1"
fed-interest-rates-november-2024,no-change-in-fed-interest-rates-after-2024-november-meeting,noChange,7995206.758932,0x2a3a29b57597777e5d2941c419716b02a7b8c43b5c19c4ac746ae2d9c720cbe1,"99693453180573360817239647658551491302597637631928074955157125575801041271704","115507895530829847106814801322413374730674071153702449416941964748547466877722","0","1"
fed-interest-rates-november-2024,fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,down50,8393267.791414,0xe4a9b98237a29e778ac5717e3d29220bb2f0c0370e8e3436d4a277853556355f,"72373922484601612837855188905332325479292726362975414708210444785555968287015","92249169140333714359584780039430943171728511731010101062109503186755234839359","0","1"
fed-interest-rates-november-2024,fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,down25,5010507.074128,0x3d31558105899ab4025075b92cfb127fae4be0e9644a6895466aa50e2de37e72,"65296916822529786608589480973001109800752370083376702200697419905763894019594","78238543110592118163386456765094318511102035295303787218895510947686482016630","1","0"
fed-interest-rates-may-2024,will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,up25,286083.436551,0x7f7acaad0b6132ec2f72ba179eebca814865a2c598705381a8e8aa3acce5b0b5,"80008014025296677859920829476639341785820697424124805347618728999642819187991","9217171306727224021688293954254968529052454633491771853374148728911687996458","0","1"
fed-interest-rates-may-2024,no-change-in-fed-raise-interest-rates-after-its-2024-aprilmay-meeting,noChange,165142.107795,0x23a9be32693bd427cce236d5af3e9f86aa38776e3ff4823faa7f51443d1a5647,"106069101498679413374977045562974413976756527245227090310649786199626426823943","72141376668094849954769492573122997402302135905135429328833793996019277552138","1","0"
fed-interest-rates-may-2024,will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,down25,234731.018528,0xf0d028fe7f2f078c4812151ba80cf390f8b39e5f8159b24b09833d7d20df9629,"115747801363178125935864813183081177465824595640832734323974616842434316157020","45151182420734454704899827734789694317717530611782402432328791189631545852469","0","1"
fed-interest-rates-may-2024,will-the-fed-decrease-interest-rates-by-50-bps-after-its-aprilmay-2024-meeting,down50,214654.559785,0xe92b0c7d4a663200f4464e2547c468ba245e462289f88c7bae660feae8dd281a,"19667768821035752473896311318796357210685218881506909594946157304598352119125","21460134641425227566341425854729853966100486480195146784236059759485433838126","0","1"
fed-interest-rates-july-2023,will-the-fed-decrease-interest-rates-by-25-bps-after-its-july-meeting,down25,17999.656051,0x1e3afb4a670b4c28b8a2742ef61830023bb39809260af94908392cc7c9fdb7ca,"92020135237453536907195284129807192368680617072269422641652974288173376382819","108385365277693070090740198577596324669897099238991453926232832452421303670258","0","1"
fed-interest-rates-july-2023,will-the-fed-raise-interest-rates-by-0-bps-after-its-july-meeting,noChange,90868.698235,0x692cf1efb4aeb95f38a02b2b06085fee7f0e531967e12b996d4a1efeb1d570cf,"103021485206560835357809869099701826848947174034618735275530334969109292751452","6975999991809861958940232895743284766260716188907687944897965692448262191608","0","1"
fed-interest-rates-july-2023,will-the-fed-raise-interest-rates-by-25-bps-after-its-july-meeting,up25,133986.714387,0x5e9dcbf5748f0d4df34dc4795add11e59d529dbd08bd597966e8cb83a266565a,"71837948105842771948801100572467514292296135260613223864156479535311093728326","37013402990873174408844323796921450411915591666243780863365987671074915517701","1","0"
fed-decision-in-june,no-change-in-fed-interest-rates-after-june-2025-meeting,noChange,17021097.114837,0xffdd774123c13df21ce755bfd4f65bde47a74f1377ea73c8b130d84c59831173,"68046695472248272727543027597015771748863497493648721835081384395985280231101","76716978061000337976118775823237305754635471486273544675473025333022147209928","0.9695","0.0305"
fed-decision-in-june,fed-decreases-interest-rates-by-50-bps-after-june-2025-meeting,down50,15077177.835174,0x834a4109dbd18f97695e4858b3a18d21fff19bc2dc7c055f18b96843ac1de17b,"113056471671080844361260106931306859817628421950685586233292833065866456177916","106470346400467790926555598933779645014104578722467391592920204737852094642121","0.0055","0.9945"
fed-decision-in-june,fed-decreases-interest-rates-by-25-bps-after-june-2025-meeting,down25,14274304.013523,0x872c8e9a4e4808a2ab714c267bd8a93f63cb739c853d7e4de2b42009e73f9b3f,"72590024726245493077522454398168089576836207607927418208000602748203871211427","36390717936372746391289704283263123445079118730599731659392294228980748319183","0.025","0.975"
fed-decision-in-june,fed-increases-interest-rates-by-25-bps-after-june-2025-meeting,up25,17327244.747079,0x3a92a26ce837b361bd044acc2c0b81346ad66e9a891fc5ad27b9a35e6701c6e7,"53773496600623227278718953583260706698915942265798082890170993921603893162994","1181333413366794698443015859124945447083985733455093288678334804747057699199","0.0005","0.9995"
